date,advertiser_id,campaign_id,channel,region,impressions,clicks,spend,conversions,revenue
2024-01-04,ADV001,CMP8509,Native,EMEA,4541,178,660.45,7,507.53
2024-01-08,ADV001,CMP8027,Native,EMEA,3940,182,573.06,5,317.23
2024-01-09,ADV001,CMP2150,Native,EMEA,3868,168,562.52,4,556.19
2024-01-10,ADV001,CMP8404,Native,EMEA,2878,101,418.65,3,135.09
2024-01-12,ADV001,CMP6188,Native,EMEA,4791,237,696.73,6,357.82
2024-01-15,ADV001,CMP3849,Native,EMEA,5975,268,868.94,9,678.68
2024-01-18,ADV001,CMP1851,Native,EMEA,7060,295,1026.69,11,1881.25
2024-01-19,ADV001,CMP6536,Native,EMEA,5733,282,833.8,8,746.56
2024-01-20,ADV001,CMP7748,Native,EMEA,3946,146,573.86,4,104.94
2024-01-21,ADV001,CMP8164,Native,EMEA,3462,132,503.58,4,525.91
2024-01-24,ADV001,CMP3914,Native,EMEA,3042,107,442.48,3,506.76
2024-01-26,ADV001,CMP8400,Native,EMEA,5424,259,788.87,8,569.66
2024-01-27,ADV001,CMP6588,Native,EMEA,4803,195,698.46,6,593.3
2024-01-28,ADV001,CMP8330,Native,EMEA,6121,272,890.19,9,311.34
2024-01-29,ADV001,CMP7313,Native,EMEA,3819,151,555.48,5,594.57
2024-01-31,ADV001,CMP9702,Native,EMEA,4031,167,586.22,4,229.27
2024-02-01,ADV001,CMP5268,Native,EMEA,3078,143,447.7,4,321.91
2024-02-03,ADV001,CMP8576,Native,EMEA,5989,257,870.94,7,975.57
2024-02-04,ADV001,CMP4486,Native,EMEA,4667,193,678.74,6,1050.53
2024-02-05,ADV001,CMP9549,Native,EMEA,3862,142,561.64,5,689.68
2024-02-06,ADV001,CMP4775,Native,EMEA,3313,150,481.8,4,306.15
2024-02-07,ADV001,CMP8026,Native,EMEA,3392,169,493.29,4,253.41
2024-02-08,ADV001,CMP4925,Native,EMEA,3420,172,497.38,6,1067.79
2024-02-09,ADV001,CMP3000,Native,EMEA,4107,0,597.32,5,129.46
2024-02-10,ADV001,CMP3048,Native,EMEA,4744,200,689.94,8,1129.06
2024-02-11,ADV001,CMP1249,Native,EMEA,4971,171,723.0,6,764.83
2024-02-12,ADV001,CMP4374,Native,EMEA,4579,224,665.91,7,768.25
2024-02-13,ADV001,CMP7241,Native,EMEA,5417,240,787.85,9,1339.26
2024-02-14,ADV001,CMP3180,Native,EMEA,3784,158,550.42,5,460.73
2024-02-15,ADV001,CMP6569,Native,EMEA,5874,278,854.24,9,1287.24
2024-02-17,ADV001,CMP7777,Native,EMEA,4387,179,637.98,5,376.53
2024-02-19,ADV001,CMP3593,Native,EMEA,4880,170,709.69,4,100.35
2024-02-24,ADV001,CMP6811,Native,EMEA,4585,234,666.81,7,142.91
2024-02-27,ADV001,CMP6126,Native,EMEA,3630,122,527.99,4,376.02
2024-02-28,ADV001,CMP2296,Native,EMEA,4867,217,707.83,6,220.67
2024-03-03,ADV001,CMP8943,Native,EMEA,4034,200,586.64,7,1023.87
2024-03-04,ADV001,CMP2460,Native,EMEA,3673,171,534.18,6,703.25
2024-03-12,ADV001,CMP9195,Native,EMEA,5452,226,792.87,6,513.98
2024-03-14,ADV001,CMP9915,Native,EMEA,7610,312,1106.71,11,1161.66
2024-03-15,ADV001,CMP7988,Native,EMEA,6613,258,961.67,8,941.59
2024-03-16,ADV001,CMP4490,Native,EMEA,5598,220,814.07,6,774.24
2024-03-18,ADV001,CMP6951,Native,EMEA,6538,282,950.9,8,1361.08
2024-03-19,ADV001,CMP1600,Native,EMEA,6302,282,916.52,10,498.25
2024-03-20,ADV001,CMP6142,Native,EMEA,6244,295,908.02,9,812.35
2024-03-21,ADV001,CMP2202,Native,EMEA,3825,177,556.26,6,183.95
2024-03-24,ADV001,CMP1950,Native,EMEA,3329,148,484.19,6,978.14
2024-03-27,ADV001,CMP4719,Native,EMEA,7451,306,1083.67,10,806.11
2024-03-30,ADV001,CMP7166,Native,EMEA,4770,218,693.8,8,1048.25
2024-03-31,ADV001,CMP4876,Native,EMEA,5938,323,863.62,10,1595.4
2024-04-01,ADV001,CMP4797,Native,EMEA,5800,247,843.5,7,819.52
2024-04-02,ADV001,CMP3708,Native,EMEA,5410,211,786.86,6,923.99
2024-04-04,ADV001,CMP8973,Native,EMEA,5307,235,771.82,7,816.17
2024-04-07,ADV001,CMP7320,Native,EMEA,4195,168,610.18,4,192.89
2024-04-08,ADV001,CMP5243,Native,EMEA,5597,206,814.0,6,324.17
2024-04-09,ADV001,CMP5524,Native,EMEA,8416,350,1223.88,11,589.43
2024-04-11,ADV001,CMP6797,Native,EMEA,5726,190,832.8,6,805.5
2024-04-12,ADV001,CMP1054,Native,EMEA,5442,205,791.47,6,381.41
2024-04-14,ADV001,CMP8221,Native,EMEA,5561,227,808.74,7,388.61
2024-04-16,ADV001,CMP6619,Native,EMEA,5900,272,858.0,10,1781.97
2024-04-17,ADV001,CMP4452,Native,EMEA,6397,243,2949.97,7,1143.9
